pid,assessed_value
1,846887
2,131874
3,105079
4,76412
5,200545
6,333275
7,236095
8,241294
9,159357
10,149469
11,257676
12,97999
13,38164
14,238229
15,103014
16,1421774
17,320526
18,555334
19,418708
20,331824
21,657638
22,302169
23,281250
24,339419
25,402847
26,224411
27,99872
28,106361
29,241222
30,377118
31,197995
32,272961
33,333976
34,62810
35,289396
36,286695
37,450780
38,984192
39,193794
40,107564
41,419716
42,269784
43,693352
44,750619
45,278828
46,678358
47,110068
48,1998289
49,140487
50,149196
51,160895
52,157253
53,243357
54,532373
55,642553
56,116950
57,581002
58,176811
59,233486
60,129203
61,429071
62,254016
63,162433
64,306740
65,334790
66,194518
67,331234
68,282820
69,203862
70,148039
71,557319
72,205454
73,98895
74,149711
75,203682
76,183518
77,177937
78,150210
79,263971
80,514347
81,245158
82,271903
83,221835
84,171619
85,68122
86,343995
87,185822
88,161500
89,541801
90,260286
91,189114
92,1079834
93,285140
94,264744
95,213031
96,270084
97,316479
98,58060
99,38412
100,252284
101,94363
102,162939
103,201494
104,118006
105,39831
106,199794
107,452956
108,89253
109,76498
110,264480
111,111321
112,245155
113,477807
114,275928
115,313122
116,174724
117,1267223
118,552696
119,189702
120,281637
121,389291
122,289295
123,122308
124,595747
125,411046
126,803054
127,243344
128,161430
129,456371
130,613313
131,86604
132,72732
133,227010
134,111516
135,391091
136,321070
137,590504
138,285342
139,29421
140,231557
141,381048
142,849553
143,76803
144,218789
145,363642
146,205545
147,849176
148,177310
149,234058
150,402417
151,251588
152,869216
153,313353
154,185007
155,316313
156,639572
157,629134
158,70455
159,697776
160,123988
161,51172
162,265822
163,179024
164,346288
165,242535
166,381926
167,435048
168,449409
169,10000
170,298647
171,130746
172,163344
173,344984
174,65922
175,310294
176,267791
177,712014
178,164506
179,217618
180,365784
181,506269
182,17532
183,140395
184,230827
185,294125
186,169977
187,170766
188,292416
189,174483
190,726533
191,526282
192,328204
193,142122
194,691859
195,278676
196,115214
197,139231
198,224117
199,306708
200,262760
201,207873
202,342819
203,71947
204,203759
205,168550
206,259585
207,344248
208,311491
209,61617
210,427256
211,169705
212,471562
213,224075
214,324533
215,285581
216,111418
217,396315
218,215706
219,80531
220,207188
221,204630
222,288649
223,135652
224,213718
225,1040949
226,803526
227,238341
228,198735
229,122426
230,697300
231,209270
232,532120
233,129698
234,192145
235,4674006
236,332654
237,925163
238,172328
239,66404
240,52498
241,264638
242,855728
243,234438
244,668859
245,42323
246,306420
247,755679
248,324223
249,301261
250,177366
251,361172
252,395817
253,312860
254,427744
255,123823
256,568739
257,113791
258,228552
259,508635
260,119584
261,313699
262,87950
263,269725
264,855760
265,107751
266,213964
267,74682
268,148246
269,36067
270,919578
271,513915
272,187401
273,336214
274,188989
275,26104
276,391833
277,133872
278,246845
279,591592
280,168696
281,129456
282,836817
283,65016
284,236880
285,824674
286,246713
287,173313
288,985620
289,453523
290,160593
291,146314
292,228625
293,770461
294,89744
295,91724
296,66332
297,343559
298,162523
299,172185
300,1526831
301,263424
302,590935
303,824341
304,118538
305,147251
306,1157871
307,275454
308,1381002
309,678780
310,110131
311,144218
312,570820
313,234266
314,343150
315,390004
316,112583
317,1274610
318,73439
319,244334
320,88005
321,604219
322,713756
323,499108
324,2052471
325,204935
326,79880
327,1686704
328,316242
329,694746
330,271204
331,87790
332,395877
333,303070
334,171176
335,444615
336,559583
337,589873
338,651154
339,135153
340,187756
341,212937
342,192689
343,117726
344,370675
345,94605
346,1124579
347,208939
348,299298
349,307192
350,285661
351,135063
352,566948
353,491696
354,266724
355,231478
356,475494
357,239213
358,271105
359,125274
360,451849
361,400769
362,507020
363,240827
364,111915
365,258989
366,78370
367,159323
368,578305
369,321980
370,160019
371,284276
372,601715
373,315540
374,134051
375,182760
376,469970
377,109408
378,667413
379,417599
380,369989
381,391106
382,618116
383,249659
384,105508
385,51138
386,255461
387,393156
388,224626
389,99502
390,208846
391,321684
392,325412
393,97729
394,284537
395,192418
396,111700
397,1194584
398,213471
399,201768
400,536639
401,2029616
402,126451
403,126661
404,133269
405,35482
406,24704
407,203014
408,381476
409,423592
410,349503
411,335593
412,187780
413,232247
414,411831
415,151843
416,347004
417,1237965
418,111465
419,110245
420,278034
421,1096714
422,500874
423,292649
424,155944
425,18149
426,152792
427,218385
428,270532
429,190962
430,185414
431,109591
432,234192
433,155159
434,191274
435,277150
436,372417
437,50375
438,352501
439,118205
440,507948
441,363549
442,464831
443,324642
444,554981
445,226415
446,197320
447,198612
448,291546
449,47925
450,284294
451,397162
452,263981
453,445202
454,274878
455,351359
456,998403
457,59527
458,282638
459,637517
460,343015
461,487473
462,308063
463,450658
464,57535
465,284152
466,278623
467,215230
468,314267
469,110419
470,255592
471,1265249
472,75633
473,712687
474,646002
475,508771
476,534260
477,336403
478,660516
479,173233
480,149155
481,88494
482,328426
483,151062
484,667122
485,305782
486,446842
487,1184802
488,54984
489,212028
490,107998
491,614077
492,156059
493,310402
494,187644
495,134217
496,2091926
497,410473
498,180537
499,344174
500,374964
501,207832
502,568474
503,89651
504,47138
505,245866
506,161290
507,71975
508,297814
509,187143
510,1373911
511,753388
512,278813
513,2231532
514,165045
515,751271
516,158605
517,405307
518,234424
519,274295
520,112033
521,1119741
522,267100
523,264469
524,247365
525,286158
526,208800
527,48375
528,600468
529,55243
530,274948
531,141715
532,793927
533,768166
534,183820
535,140133
536,390570
537,330432
538,139260
539,224208
540,150967
541,261849
542,155902
543,160567
544,312699
545,197790
546,183386
547,21450
548,115293
549,1139149
550,165138
551,397906
552,1129565
553,322844
554,216495
555,235634
556,106993
557,249970
558,230684
559,217868
560,581095
561,410817
562,177204
563,129375
564,139642
565,1204641
566,303614
567,318214
568,344399
569,158760
570,181819
571,338748
572,326184
573,188838
574,289127
575,161420
576,53045
577,469395
578,767155
579,142401
580,52832
581,308441
582,285678
583,400008
584,201940
585,270649
586,423873
587,300900
588,293226
589,83269
590,243470
591,284222
592,138421
593,362386
594,152709
595,191177
596,382344
597,149386
598,258233
599,231097
600,99897
601,72072
602,103939
603,86705
604,201496
605,371215
606,189524
607,394646
608,381609
609,202219
610,56352
611,197039
612,227126
613,52270
614,184555
615,212799
616,617785
617,220334
618,61128
619,54954
620,312967
621,525786
622,451272
623,238060
624,188894
625,533082
626,358068
627,209093
628,232298
629,388406
630,98911
631,643636
632,394802
633,119925
634,10000
635,210268
636,827373
637,519141
638,105792
639,263539
640,254201
641,956804
642,267321
643,542932
644,127234
645,88406
646,220731
647,185947
648,765477
649,103267
650,306846
651,107107
652,489784
653,713934
654,819875
655,669155
656,374302
657,360876
658,509388
659,163981
660,718616
661,553339
662,63155
663,374182
664,1128012
665,107616
666,456145
667,290542
668,253477
669,124657
670,125388
671,256641
672,199054
673,89741
674,641323
675,48078
676,223143
677,160623
678,391690
679,476533
680,394624
681,190237
682,669356
683,348384
684,217075
685,159686
686,346807
687,363008
688,159441
689,239964
690,364201
691,1036706
692,597090
693,374247
694,206307
695,114049
696,1163538
697,236000
698,870269
699,123919
700,409120
701,207836
702,711687
703,246174
704,335121
705,351727
706,246737
707,204469
708,267244
709,778496
710,437978
711,83466
712,476509
713,182573
714,76598
715,236048
716,242797
717,98086
718,60556
719,200912
720,293375
721,403869
722,314083
723,920731
724,1331246
725,733882
726,40949
727,90653
728,292379
729,367994
730,282418
731,390976
732,50634
733,63433
734,657788
735,329468
736,127260
737,104078
738,158648
739,589967
740,501302
741,177637
742,318698
743,196753
744,748424
745,179370
746,273282
747,259926
748,347299
749,194929
750,283363
751,276031
752,21967
753,1064365
754,202431
755,109501
756,106210
757,934585
