pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
1,206,21,21032,676850,55080,NA,W,6120,97,NA,4,1,10,4,1,3,1,5,1,1,2,2,0,2,2,2,2,3,1,2,2,0,2939,2,1,2,1,NA,NA,LA GRANGE,60525,5794,0.9366586123576112,0.00673110113910942,0.02140144977562996,0.01984811874352778,0.03072143596824301,40767,La Grange,0,0,3,1,0,0,SCHOOL DISTRICT  102,LYONS TOWNSHIP HIGH SCHOOL  204,9.461,175078,FALSE,TRUE,TRUE
2,295,35,35109,119330,21670,NA,W,1376,49,NA,1,1,5,3,1,3,1,5,2,0,3,1,1,2,NA,2,2,7,NA,NA,NA,0,1252,2,1,2,NA,NA,NA,HOFFMAN ESTATES,60169,6451,0.34862811967136875,0.1040148814137343,0.26771043249108667,0.2449232677104325,0.06944659742675555,35411,Hoffman Estates,0,0,1,0,0,0,SCHOOL DISTRICT C C 54,PALATINE TOWNSHIP HIGH SCHOOL  211,10.04,62756,FALSE,FALSE,TRUE
3,295,18,18010,95300,29720,NA,W,3049,38,NA,1,1,5,2,2,3,1,5,1,1,3,1,0,2,1,2,2,1,1,1,1,0,1021,2,1,2,NA,NA,NA,STREAMWOOD,60107,6215,0.4313757039420757,0.06870474658085278,0.20949316170555107,0.25341914722445696,0.07401448109412712,73157,Streamwood,0,0,1,0,0,0,SCHOOL DISTRICT 46,SCHOOL DISTRICT 46,10.958,72073,FALSE,TRUE,TRUE
4,205,70,70080,93090,45360,NA,W,5040,112,NA,3,2,7,3,1,3,1,5,1,0,3,2,0,2,2,2,2,3,1,2,2,0,1522,2,1,2,NA,NA,NA,CHICAGO,60619,6004,0.00766155896069287,0.959526982011992,0.01332445036642238,0.00916055962691539,0.01782145236508994,14000,Chicago,0,0,5,1,0,0,AVALON PARK,HIRSCH HS,6.88386464826358,42766,FALSE,TRUE,TRUE
5,203,39,39050,137920,40820,NA,W,6804,70,NA,1,1,6,3,2,3,1,5,1,0,1,2,0,2,2,2,2,4,1,2,2,0,1767,2,1,1,3,NA,NA,OAK LAWN,60453,4265,0.7570926143024619,0.03423212192262603,0.00328253223915592,0.19835873388042205,0.01406799531066823,54820,Oak Lawn,0,0,1,0,0,0,SCHOOL DISTRICT  123,COMMUNITY HIGH SCHOOL  229,12.437,70030,FALSE,TRUE,TRUE
6,203,10,10011,248770,55250,NA,W,18418,65,NA,3,1,8,4,3,1,1,5,1,1,3,2,0,2,NA,2,2,3,1,2,2,338,1556,2,1,1,NA,NA,1,BARRINGTON,60010,7280,0.7271978021978022,0.00357142857142857,0.18543956043956045,0.07486263736263736,0.01785714285714285,NA,NA,0,0,1,0,0,0,COMMUNITY UNIT SCHOOL DISTRICT 220,COMMUNITY UNIT SCHOOL DISTRICT 220,7.251,122931,FALSE,TRUE,TRUE
7,203,71,71260,202500,38750,NA,W,3100,104,NA,1,1,6,3,1,3,1,5,2,0,1,2,0,2,2,2,2,3,1,2,2,0,1624,2,1,5,1,NA,1,CHICAGO,60639,7338,0.1017988552739166,0.00776778413736713,0.00735895339329517,0.8609975470155355,0.02630144453529572,14000,Chicago,0,0,1,0,0,0,LLOYD,FOREMAN HS,6.894,47955,FALSE,TRUE,TRUE
8,202,35,35040,180860,45780,NA,W,9639,52,NA,1,1,4,2,1,1,1,5,1,0,3,1,1,2,NA,2,2,3,1,2,2,0,984,2,1,1,NA,NA,NA,SCHAUMBURG,60193,5223,0.6034845874018763,0.01531686770055523,0.15029676431169825,0.218648286425426,0.02010338885697874,68003,Schaumburg,0,0,1,0,0,0,SCHOOL DISTRICT C C 54,PALATINE TOWNSHIP HIGH SCHOOL  211,9.172189655172414,80957,FALSE,TRUE,TRUE
9,202,71,71371,108360,47250,NA,W,3780,67,NA,1,1,4,2,2,3,1,5,2,0,3,1,0,2,NA,2,2,3,1,2,2,0,640,2,1,1,NA,NA,NA,CHICAGO,60634,4189,0.6299832895679159,0.0083552160420148,0.04153735975173072,0.3160658868465027,0.00811649558367152,14000,Chicago,0,0,1,0,0,0,DEVER,STEINMETZ COLLEGE PREP HS,6.894,67571,FALSE,TRUE,TRUE
10,202,72,72192,94210,29310,NA,W,4510,68,NA,2,1,4,2,2,3,1,5,2,0,3,1,0,2,2,2,2,2,1,2,2,0,998,2,1,1,NA,NA,NA,CHICAGO,60652,6389,0.1774925653466896,0.11958052903427768,0.01314759743308812,0.6850837376741274,0.00735639380184692,14000,Chicago,0,0,1,0,0,0,STEVENSON,BOGAN HS,6.949,67765,FALSE,TRUE,TRUE
11,203,20,20080,198080,33750,NA,W,3750,58,NA,2,1,5,3,1,1,2,5,2,0,3,2,1,2,2,2,2,3,1,2,2,0,1401,2,1,1,NA,NA,NA,ELMWOOD PARK,60707,5136,0.5112928348909658,0.0058411214953271,0.0212227414330218,0.4559968847352025,0.01129283489096573,23724,Elmwood Park,0,0,1,0,0,0,SCHOOL DISTRICT UNIT  401,SCHOOL DISTRICT UNIT  401,10.001,43587,FALSE,TRUE,TRUE
